# File generated by CMD 3.2 (http://stev.oapd.inaf.it/cmd) on Wed Apr  3 18:15:55 CEST 2019
# isochrones based on PARSEC release v1.2S + COLIBRI release PR16, as in Marigo et al. 2017
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: DECAM (ABmags)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
Zini logAge Mini int_IMF  Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
0.00015542 7.699 1.2500000000 2.5134611130    1.250  0.665  3.9455  4.604    0  0.000  0.538     0.00     0.00 -1 -1.67e-13      0.00 7.516e-01 2.482e-01 2.895e-05 7.906e-06 7.181e-05 -1.000 1.636e-04 3.107 3.676 3.151 3.329 3.505 3.628 3.666
0.00015542 7.699 1.2999999523 2.5194499493    1.300  0.736  3.9614  4.614    0  0.000  0.538     0.00     0.00 -1  -1.7e-13      0.00 7.517e-01 2.481e-01 2.895e-05 7.905e-06 7.180e-05 -1.000 1.637e-04 2.929 3.510 2.998 3.214 3.408 3.537 3.578
0.00015542 7.699 1.3174984455 2.5214228630    1.318  0.761  3.9668  4.616    0  0.000  0.538     0.00     0.00 -1  -1.7e-13      0.00 7.517e-01 2.481e-01 2.895e-05 7.905e-06 7.180e-05 -1.000 1.637e-04 2.868 3.454 2.950 3.175 3.375 3.506 3.548
0.00015542 7.699 1.3500000238 2.5249314308    1.350  0.806  3.9767  4.622    1  0.000  0.538     0.00     0.00 -1 -1.69e-13      0.00 7.517e-01 2.481e-01 2.895e-05 7.904e-06 7.180e-05 -1.000 1.636e-04 2.756 3.351 2.863 3.107 3.316 3.451 3.494
0.00015542 7.699 1.3999999762 2.5299651623    1.401  0.872  3.9917  4.631    1  0.000  0.538     0.00     0.00 -1 -1.64e-13      0.00 7.517e-01 2.481e-01 2.894e-05 7.903e-06 7.179e-05 -1.000 1.622e-04 2.590 3.203 2.745 3.011 3.232 3.374 3.420
0.00015542 7.699 1.4500000477 2.5346016884    1.451  0.935  4.0057  4.639    1  0.000  0.538     0.00     0.00 -1 -1.54e-13      0.00 7.517e-01 2.481e-01 2.894e-05 7.903e-06 7.178e-05 -1.000 1.636e-04 2.431 3.066 2.641 2.924 3.155 3.301 3.351
0.00015542 7.699 1.5000000000 2.5388846397    1.500  0.996  4.0192  4.646    1  0.000  0.538     0.00     0.00 -1 -1.38e-13      0.00 7.518e-01 2.480e-01 2.894e-05 7.902e-06 7.178e-05 -1.000 1.636e-04 2.279 2.938 2.545 2.843 3.082 3.233 3.287
0.00015542 7.699 1.5499999523 2.5428512096    1.550  1.055  4.0319  4.653    1  0.000  0.538     0.00     0.00 -1 -1.16e-13      0.00 7.518e-01 2.480e-01 2.893e-05 7.902e-06 7.177e-05 -1.000 1.637e-04 2.133 2.819 2.458 2.768 3.014 3.169 3.226
0.00015542 7.699 1.6000000238 2.5465342999    1.600  1.111  4.0442  4.660    1  0.000  0.538     0.00     0.00 -1 -8.57e-14      0.00 7.518e-01 2.480e-01 2.893e-05 7.901e-06 7.177e-05 -1.000 1.636e-04 1.993 2.711 2.378 2.698 2.949 3.109 3.169
0.00015542 7.699 1.6499999762 2.5499615669    1.650  1.165  4.0558  4.666    1  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.518e-01 2.480e-01 2.893e-05 7.900e-06 7.176e-05 -1.000 1.636e-04 1.859 2.608 2.301 2.630 2.886 3.050 3.113
